Extra options: []
Measured: 10 times

Total Average: 13.295500 msec
Total Max:     16.750000 msec
Total Min:     12.415000 msec

 AVERAGE       MAX      MIN
----------------------------
9.481000 12.002000 8.803000: /Users/haruki/.config/nvim/init.lua
5.474100  7.145000 4.960000: require('plugins-setup')
3.495900  4.211000 3.285000: require('colorscheme')
3.056700  3.616000 2.905000: /Users/haruki/.local/share/nvim/lazy/sonokai/colors/sonokai.vim
0.967000  1.245000 0.843000: /Users/haruki/.local/share/nvim/lazy/copilot.vim/autoload/copilot.vim
0.756900  0.868000 0.702000: reading ShaDa
0.520100  0.649000 0.474000: require('vim._defaults')
0.482200  0.613000 0.407000: require('lazy.view.commands')
0.421000  0.529000 0.343000: require('lazy.manage')
0.406100  0.537000 0.360000: require('lazy.core.loader')
0.349400  0.461000 0.288000: require('lazy.manage.runner')
0.264100  0.325000 0.246000: /Users/haruki/.local/nvim/share/nvim/runtime/plugin/matchit.vim
0.254100  0.319000 0.214000: require('keymaps')
0.250500  0.323000 0.228000: sourcing vimrc file(s)
0.248300  0.332000 0.203000: require('lazy.core.plugin')
0.227600  0.289000 0.209000: require('lazy')
0.189000  0.234000 0.156000: require('lazy.manage.task')
0.181600  0.342000 0.111000: require('vim.version')
0.174400  0.221000 0.152000: init lua interpreter
0.169800  0.231000 0.153000: locale set
0.153200  0.185000 0.104000: require('lazy.core.meta')
0.149800  0.201000 0.137000: inits 1
0.118400  0.148000 0.104000: require('options')
0.112700  0.141000 0.103000: init highlight
0.111000  0.133000 0.102000: BufEnter autocommands
0.106500  0.167000 0.096000: /Users/haruki/.local/nvim/share/nvim/runtime/plugin/netrwPlugin.vim
0.106100  0.125000 0.101000: /Users/haruki/.local/nvim/share/nvim/runtime/syntax/syntax.vim
0.103700  0.134000 0.092000: expanding arguments
0.102300  0.124000 0.095000: /Users/haruki/.local/share/nvim/lazy/copilot.vim/plugin/copilot.vim
0.101600  0.128000 0.094000: require('vim.loader')
0.098300  0.131000 0.088000: require('vim._init_packages')
0.086400  0.107000 0.077000: require('lazy.core.config')
0.074900  0.093000 0.063000: require('lazy.stats')
0.074500  0.091000 0.070000: /Users/haruki/.local/nvim/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
0.074100  0.095000 0.068000: require('vim.uri')
0.073700  0.088000 0.070000: inits 3
0.071200  0.113000 0.054000: require('lsp')
0.070100  0.092000 0.061000: require('lazy.core.handler')
0.069800  0.105000 0.045000: require('lazy.async')
0.067750  0.150000 0.020000: /Users/haruki/.local/nvim/share/nvim/runtime/filetype.lua
0.067200  0.086000 0.047000: require('lazy.manage.process')
0.066900  0.080000 0.062000: /Users/haruki/.local/nvim/share/nvim/runtime/plugin/rplugin.vim
0.065400  0.091000 0.035000: require('lazy.terminal')
0.060500  0.078000 0.047000: require('lazy.pkg')
0.059600  0.084000 0.030000: require('lazy.core.handler.ft')
0.057700  0.071000 0.054000: /Users/haruki/.local/nvim/share/nvim/runtime/plugin/matchparen.vim
0.057000  0.075000 0.047000: require('lazy.core.util')
0.057000  0.070000 0.052000: require('vim._editor')
0.054200  0.066000 0.051000: /Users/haruki/.local/nvim/share/nvim/runtime/plugin/gzip.vim
0.053700  0.086000 0.038000: require('lazy.core.handler.event')
0.051300  0.068000 0.044000: require('autocmd')
0.046900  0.057000 0.043000: /Users/haruki/.local/share/nvim/lazy/sonokai/autoload/sonokai.vim
0.043900  0.055000 0.035000: require('lazy.core.handler.keys')
0.043400  0.072000 0.033000: require('lazy.core.handler.cmd')
0.042500  0.059000 0.038000: early init
0.042400  0.058000 0.034000: require('lazy.core.fragments')
0.042300  0.051000 0.040000: /Users/haruki/.local/nvim/share/nvim/runtime/plugin/zipPlugin.vim
0.038900  0.041000 0.037000: opening buffers
0.031400  0.040000 0.028000: /Users/haruki/.local/nvim/share/nvim/runtime/plugin/man.lua
0.031000  0.043000 0.028000: /Users/haruki/.local/nvim/share/nvim/runtime/plugin/tarPlugin.vim
0.030700  0.038000 0.027000: /Users/haruki/.local/nvim/share/nvim/runtime/plugin/editorconfig.lua
0.028500  0.035000 0.025000: /Users/haruki/.local/nvim/share/nvim/runtime/plugin/tohtml.lua
0.028500  0.042000 0.023000: /Users/haruki/.local/nvim/share/nvim/runtime/plugin/osc52.lua
0.026200  0.031000 0.025000: /Users/haruki/.local/nvim/share/nvim/runtime/syntax/synload.vim
0.023300  0.029000 0.022000: /Users/haruki/.local/nvim/share/nvim/runtime/plugin/shada.vim
0.022400  0.030000 0.019000: event init
0.020500  0.027000 0.018000: /Users/haruki/.local/nvim/share/nvim/runtime/ftplugin.vim
0.019500  0.025000 0.017000: require('vim.shared')
0.016300  0.018000 0.015000: /Users/haruki/.local/share/nvim/lazy/copilot.vim/autoload/copilot/util.vim
0.015600  0.020000 0.014000: require('vim.inspect')
0.015500  0.019000 0.014000: require('vim._options')
0.013600  0.017000 0.012000: init first window
0.012200  0.015000 0.011000: require('vim.fs')
0.011200  0.014000 0.010000: /Users/haruki/.local/nvim/share/nvim/runtime/indent.vim
0.008900  0.011000 0.008000: --- NVIM STARTED ---
0.006600  0.009000 0.006000: require('ffi')
0.006500  0.008000 0.006000: /Users/haruki/.local/nvim/share/nvim/runtime/plugin/spellfile.vim
0.006500  0.008000 0.006000: clear screen
0.006000  0.008000 0.005000: /Users/haruki/.local/nvim/share/nvim/runtime/plugin/tutor.vim
0.005300  0.007000 0.005000: inits 2
0.004500  0.006000 0.003000: require('vim.keymap')
0.003700  0.005000 0.003000: window checked
0.001900  0.003000 0.001000: init default mappings & autocommands
0.001100  0.002000 0.001000: parsing arguments
0.001100  0.002000 0.001000: editing files in windows
0.000000  0.000000 0.000000: --- NVIM STARTING ---
